source,target,weight
0,5215,0.6381724194733074
0,5239,0.5977589538010909
0,5240,0.6348763229162417
1,11,0.6276399065518109
1,21,0.6590860957395044
1,368,0.6268000178428024
1,5309,0.6560987911747607
2,6,0.6267232210668756
2,34,0.5663052227558262
2,42,0.5064243322878257
2,44,0.5746547499298235
2,50,0.5283255890752266
2,191,0.502596085183421
2,5255,0.5661519061633562
2,5279,0.4968752838713838
3,11,0.6577569138652958
3,21,0.6634194452246536
3,5309,0.6480946220429241
4,5222,0.6016942134697844
4,5262,0.6181725362899374
4,5318,0.5788167535196008
5,5215,0.6278219366009984
5,5236,0.6086619996144665
5,5275,0.623662022758246
6,23,0.5967109496684851
6,34,0.6035433067211049
6,41,0.491474345807059
6,44,0.5388306942191511
6,50,0.596389367913833
6,5233,0.5843636716094596
6,5253,0.576909388534082
6,5255,0.5814722566608233
6,5279,0.5075770537882381
6,5317,0.6138114876532448
6,5322,0.615307050237543
7,22,0.5669901540097818
7,24,0.6150768552256326
7,28,0.5526350957420109
7,38,0.6085471633570666
7,40,0.5670897257703934
7,46,0.5604751908761241
7,49,0.5820058222609349
7,51,0.6018521265651146
7,152,0.5014725507739668
7,167,0.5003013316916872
7,172,0.5246706146232883
8,4019,0.5764421920424564
8,5249,0.6214491002731259
8,5283,0.642997368978266
8,5454,0.6431779337300586
9,10,0.5996568858280833
9,14,0.5609286987995381
9,17,0.5435691996532405
10,14,0.6786159612502248
10,15,0.6582827735671618
10,17,0.6430407069179932
10,19,0.6424668426806314
10,22,0.6215286746205672
10,27,0.6370169667607257
10,45,0.5308504337671627
10,401,0.6541196526895077
10,1778,0.6257074387727969
10,1883,0.5586422270599772
10,1969,0.6189003956601924
10,5309,0.6191610444855761
11,21,0.6901928634390646
11,5309,0.6307052568611463
12,14,0.6212622976127986
12,15,0.6349512816102669
12,19,0.5895016039689774
12,31,0.6063847606084758
13,20,0.599122651308154
13,22,0.6193753497731546
13,24,0.6576472829520349
13,25,0.5631124395705677
13,37,0.5531202152401746
13,45,0.5878978989021331
13,46,0.5948117210813867
14,15,0.6300804946261435
14,17,0.6030108248221949
14,19,0.6157954373997113
14,27,0.6588636585720048
14,31,0.6331791762048719
14,401,0.6065672686692782
14,3094,0.5850730378548463
14,4245,0.6093582107457539
14,5309,0.6124201881792115
14,5330,0.5828230175868307
15,19,0.6315333318197418
15,401,0.6067021767442075
16,216,0.6119857522100446
16,443,0.6255720634935857
16,539,0.5914355207066098
16,579,0.5769515093309445
16,633,0.6040015015547817
16,635,0.5834805236981221
16,1162,0.5592351971079889
17,22,0.6069643061127441
17,27,0.6140179303252699
18,29,0.5147463545916913
18,32,0.473970169485128
18,35,0.4972162511009689
18,48,0.5446579224289658
19,27,0.5763023985930295
19,31,0.5811056618347588
19,5330,0.5758556937320531
20,24,0.5962723356566473
20,25,0.56531585993764
20,37,0.5722991232977314
20,45,0.5318320606470426
21,138,0.5968738874628735
21,251,0.6356958125784634
21,368,0.6796049560104176
21,473,0.6607051148560842
21,2214,0.6413910629983376
21,5309,0.6682641231208488
22,24,0.6225822789933618
22,27,0.6272372318555526
22,45,0.6528289023319661
22,46,0.5910089708756716
23,26,0.5392305367070419
23,34,0.5652023874620462
23,36,0.4974165921685732
23,39,0.5648123906715402
23,50,0.5261561985372685
23,5253,0.5975149399279285
23,5317,0.5588416843582106
24,27,0.5631007841557634
24,37,0.5473381213564698
24,38,0.567960769141676
24,40,0.5798260132646642
24,45,0.6172742904199887
24,46,0.5771534969009076
24,243,0.4966128436462762
25,45,0.5108874371732994
26,34,0.6015710700982199
26,36,0.5263159530180291
26,39,0.515288536999428
27,45,0.6005993199283164
28,46,0.5463690694911683
28,49,0.5134930853407186
29,32,0.4878394851829882
29,35,0.6195245907241459
29,47,0.5191357509415093
29,48,0.6279287942856562
29,49,0.5518559375726619
29,51,0.6074811765372932
30,228,0.5364924364310151
30,5202,0.491982530970572
30,5238,0.5814528510133004
30,5278,0.5772948955467564
31,5330,0.5978401255815161
32,35,0.4981809402570479
33,5214,0.5813443910177234
33,5241,0.5833710013066395
33,5317,0.5822854945386189
34,36,0.522854296143536
34,39,0.5578357707060129
34,41,0.5031844122722543
34,44,0.5706723665427424
34,50,0.6155870495389286
34,5317,0.5769091559110322
35,38,0.5888480834562864
35,43,0.4701738713530556
35,47,0.5465254809552114
35,48,0.5968704698612358
35,49,0.5967677473472971
35,51,0.5759110804091803
38,40,0.6476277950372207
38,46,0.5759144900859079
38,49,0.6213716738693315
38,51,0.5802383019178082
38,167,0.4966292510790235
38,243,0.5462365481254423
39,50,0.5389624140193864
40,167,0.5356553759495241
40,243,0.5545469032032995
41,44,0.56675171755976
42,44,0.4505622358272758
42,191,0.4597953589888742
43,48,0.5108126045217061
43,51,0.4626659417435018
44,191,0.5301639409105896
44,5255,0.4931824473857942
46,49,0.5712628762543193
47,49,0.5474617507453075
48,51,0.5711566225988839
49,51,0.5886291458001389
49,172,0.503642857435088
51,152,0.4444840090985148
51,172,0.5276253702310064
52,3466,0.545408472454018
52,3557,0.5427918392288202
52,3634,0.4921979973554332
53,59,0.5584917638544168
53,62,0.5807159989424817
53,72,0.5790463508031197
53,202,0.5502928206255352
54,58,0.6859766546473861
54,59,0.5707386969111181
54,70,0.5593638412291113
55,58,0.597025575388764
55,69,0.6397370734422031
55,70,0.5986390401576352
55,73,0.6317762443339456
56,58,0.5521021155817846
56,64,0.5645524875886619
56,71,0.5643427842649733
57,158,0.6653448941823703
57,184,0.5736956307627764
57,208,0.6011323294912528
57,259,0.6012643422754433
57,1657,0.5324239757532087
57,5184,0.6177725892512066
57,5240,0.6021974670306207
58,59,0.6561304466584926
58,64,0.6267016303971408
58,69,0.6064153502912301
58,70,0.6251244025237678
58,71,0.634234377953491
58,73,0.5765888177741338
59,62,0.5854077028103647
59,64,0.6399408988478177
59,70,0.615562926059736
59,71,0.6852823888116097
59,72,0.6431051216728382
59,112,0.5468053365998561
59,144,0.5630354744238022
59,247,0.5614961665487147
59,4712,0.4455656632101377
60,68,0.4973589319451516
60,70,0.4840312388521003
60,71,0.510465454585728
60,86,0.4446786233904972
61,67,0.539978288075887
61,71,0.5366242046925058
61,72,0.5226787506932845
62,65,0.4971466746787432
62,70,0.5652380839448814
62,72,0.6075509290169906
62,202,0.5350880778937296
63,97,0.4512033022763732
63,124,0.4456219392587318
63,126,0.5383648964976334
64,71,0.5750730899168054
65,72,0.4792249279766671
65,202,0.4510264045308378
66,1531,0.5926570394152029
66,1652,0.5503989716641309
66,1865,0.628486490193289
66,5387,0.6166794106897965
66,5489,0.6206880466012658
67,71,0.542515120580072
67,72,0.5514616138463692
67,86,0.5341778245774624
67,98,0.5768683027256595
68,70,0.439583548977848
68,71,0.4382188205296228
69,70,0.6062677931322907
69,71,0.6129796861483484
69,73,0.6175679718979173
70,71,0.7279230586409745
