source,target,weight
110001,110015,0.616689
110001,110018,0.602828
110001,251465,0.129832
110001,355030,0.0982819
110002,110004,0.623062
110002,110010,0.503943
110002,110013,0.538525
110002,110020,0.584013
110002,110050,0.333232
110002,110100,0.298776
110002,110170,0.375048
110002,120013,0.389477
110002,120017,0.308127
110002,120025,0.412972
110002,120032,0.224439
110002,120033,0.277818
110002,120035,0.21607
110002,120080,0.362855
110002,130002,0.257114
110002,130010,0.187915
110002,130060,0.272318
110002,130063,0.178515
110002,130070,0.343662
110002,130080,0.250215
110002,130100,0.269933
110002,130140,0.287468
110002,130165,0.259807
110002,130195,0.180099
110002,130200,0.27164
110002,130210,0.16416
110002,130240,0.324788
110002,130290,0.328477
110002,130300,0.212238
110002,130340,0.34953
110002,130350,0.180086
110002,130356,0.317509
110002,130406,0.314214
110002,130420,0.336742
110002,130430,0.21173
110002,140015,0.294719
110002,140040,0.253899
110002,140070,0.204606
110002,150030,0.247757
110002,150040,0.380198
110002,150110,0.181433
110002,150145,0.341686
110002,150157,0.340008
110002,150172,0.352125
110002,150280,0.222686
110002,150300,0.174593
110002,150497,0.309533
110002,150548,0.38923
110002,150565,0.291025
110002,150611,0.266421
110002,150619,0.392268
110002,150745,0.400142
110002,150760,0.450163
110002,150796,0.320306
110002,150830,0.350381
110002,160010,0.361824
110002,160020,0.256377
110002,160021,0.145407
110002,160023,0.27682
110002,160025,0.189815
110002,160050,0.373775
110002,160055,0.184446
110002,170555,0.266851
110002,171395,0.230594
110002,172208,0.312524
110002,210010,0.271464
110002,210030,0.313229
110002,210043,0.35101
110002,210095,0.284253
110002,210193,0.215676
110002,210197,0.202063
110002,210200,0.313814
110002,210325,0.32942
110002,210400,0.317242
110002,210510,0.282943
110002,210540,0.428523
110002,210547,0.231701
110002,210640,0.292381
110002,210675,0.347536
110002,210720,0.222834
110002,210735,0.238256
110002,210850,0.374444
110002,210960,0.42758
110002,210975,0.174413
110002,211110,0.4086
110002,211172,0.19343
110002,211176,0.37936
110002,211195,0.212946
110002,211210,0.276677
110002,211227,0.183376
110002,211240,0.246257
110002,211270,0.362842
110002,211285,0.259015
110002,220005,0.29693
110002,220030,0.310323
110002,220050,0.346213
110002,220095,0.17561
110002,220110,0.296823
110002,220180,0.197419
110002,220191,0.233044
110002,220205,0.238792
110002,220210,0.187387
110002,220253,0.22544
110002,220271,0.208045
110002,220330,0.387712
110002,220342,0.162103
110002,220345,0.239041
110002,220385,0.136494
110002,220410,0.211555
110002,220430,0.269761
110002,220435,0.310207
110002,220470,0.329747
110002,220500,0.284505
110002,220620,0.332878
110002,220635,0.170753
110002,220665,0.163173
110002,220672,0.419564
110002,220675,0.221442
110002,220690,0.221646
110002,220700,0.408997
110002,220710,0.157275
110002,220779,0.18176
110002,220935,0.276573
110002,220987,0.230854
110002,221020,0.200522
110002,221038,0.168092
110002,221040,0.284537
110002,221093,0.330272
110002,221110,0.451202
110002,221135,0.170631
110002,230010,0.264522
110002,230030,0.361897
110002,230050,0.298717
110002,230195,0.346805
110002,230270,0.401696
110002,230310,0.284734
110002,230320,0.351831
110002,230330,0.315438
110002,230360,0.171566
110002,230395,0.294861
110002,230450,0.292315
110002,230465,0.250993
110002,230495,0.324545
110002,230500,0.367188
110002,230533,0.264198
110002,230580,0.38503
110002,230630,0.369385
110002,230660,0.214958
110002,230750,0.324303
110002,230763,0.289729
110002,230930,0.398232
110002,230945,0.335603
110002,231030,0.296429
110002,231080,0.281115
110002,231095,0.233403
110002,231126,0.276413
110002,231170,0.282654
110002,231400,0.349147
110002,231410,0.405768
110002,240070,0.316048
110002,240170,0.300403
110002,240290,0.239259
110002,240350,0.335675
110002,240370,0.239646
110002,240380,0.297307
110002,240450,0.273144
110002,240530,0.21558
110002,240560,0.272763
110002,240590,0.125166
110002,240600,0.243604
110002,240620,0.195191
110002,240660,0.265078
110002,240860,0.243517
110002,240990,0.285348
110002,241070,0.201351
110002,241140,0.30167
110002,241180,0.275326
110002,241190,0.232575
110002,241210,0.298087
110002,241340,0.248809
110002,241415,0.273132
110002,241445,0.193038
110002,250053,0.185198
110002,250060,0.33931
110002,250077,0.387597
110002,250090,0.273279
110002,250130,0.325595
110002,250190,0.387681
110002,250200,0.191739
110002,250210,0.203532
110002,250240,0.250094
110002,250250,0.321829
110002,250260,0.19953
110002,250280,0.251363
110002,250300,0.382792
110002,250330,0.305031
110002,250340,0.204766
110002,250355,0.198932
110002,250435,0.221531
110002,250535,0.189745
110002,250610,0.304531
110002,250700,0.379067
110002,250850,0.180815
110002,250933,0.219265
110002,251050,0.196108
110002,251150,0.296752
110002,251170,0.284438
110002,251180,0.325869
110002,251207,0.230785
110002,251240,0.339129
110002,251260,0.239616
110002,251274,0.180412
110002,251315,0.202734
110002,251360,0.161886
110002,251365,0.190378
110002,251380,0.271045
110002,251396,0.177132
110002,251420,0.219605
110002,251440,0.202314
110002,251450,0.33411
110002,251465,0.0508568
110002,251490,0.264361
110002,251540,0.252673
110002,251560,0.199184
110002,251580,0.263814
110002,251630,0.382494
110002,251690,0.374469
110002,251720,0.196851
110002,260020,0.3392
110002,260090,0.35762
110002,260150,0.243026
110002,260260,0.406145
110002,260310,0.39344
110002,260320,0.37226
110002,260330,0.291021
110002,260370,0.35813
110002,260415,0.306665
110002,260450,0.380632
110002,260500,0.370776
110002,260580,0.286438
110002,260770,0.289247
110002,260800,0.290085
110002,260825,0.294027
110002,260860,0.258691
110002,260870,0.266309
110002,260875,0.343309
110002,260970,0.383775
110002,260980,0.285911
110002,261010,0.257393
110002,261100,0.435243
110002,261140,0.274616
110002,261180,0.44744
110002,261200,0.31383
110002,261230,0.300034
110002,261270,0.272792
110002,261360,0.411313
110002,261460,0.376952
110002,261470,0.315398
110002,261500,0.346749
110002,261570,0.348606
110002,261590,0.271031
110002,270010,0.415346
110002,270060,0.302411
110002,270110,0.292721
110002,270200,0.461197
110002,270220,0.308579
110002,270290,0.370526
110002,270310,0.373794
110002,270330,0.230785
110002,270410,0.363911
110002,270420,0.373642
110002,270480,0.330735
110002,270570,0.396557
110002,270710,0.374965
110002,270780,0.222359
110002,270880,0.445124
110002,270910,0.38343
110002,270915,0.379652
110002,270920,0.253521
110002,270940,0.407842
110002,280050,0.417291
