,Ubiquity
Cultivo de cereais,8
Cultivo de algodão herbáceo e de outras fibras de lavoura temporária,6
Cultivo de cana-de-açúcar,4
Cultivo de soja,1
"Cultivo de oleaginosas de lavoura temporária, exceto soja",5
Cultivo de plantas de lavoura temporária não especificadas anteriormente,4
Horticultura,21
Cultivo de flores e plantas ornamentais,6
Cultivo de laranja,14
"Cultivo de frutas de lavoura permanente, exceto laranja e uva",8
Cultivo de café,1
Cultivo de cacau,9
Cultivo de plantas de lavoura permanente não especificadas anteriormente,11
Produção de sementes certificadas,9
"Produção de mudas e outras formas de propagação vegetal, certificadas",8
Criação de bovinos,8
Criação de outros animais de grande porte,11
Criação de caprinos e ovinos,9
Criação de suínos,11
Criação de aves,7
Criação de animais não especificados anteriormente,5
Atividades de apoio à agricultura,16
Atividades de apoio à pecuária,7
Atividades de pós-colheita,9
Produção florestal - florestas plantadas,1
Produção florestal - florestas nativas,12
Atividades de apoio à produção florestal,9
Pesca em água doce,2
Aquicultura em água salgada e salobra,3
Aquicultura em água doce,12
Extração de minério de ferro,5
Extração de minério de estanho,10
Extração de minério de metais preciosos,10
Extração de minerais metálicos não ferrosos não especificados anteriormente,5
"Extração de pedra, areia e argila",6
"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos",12
Extração de gemas (pedras preciosas e semipreciosas),9
Extração de minerais não metálicos não especificados anteriormente,9
"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",5
"Abate de reses, exceto suínos",10
"Abate de suínos, aves e outros pequenos animais",13
Fabricação de produtos de carne,8
Preservação do pescado e fabricação de produtos do pescado,5
Fabricação de conservas de frutas,9
Fabricação de conservas de legumes e outros vegetais,9
"Fabricação de sucos de frutas, hortaliças e legumes",9
"Fabricação de óleos vegetais em bruto, exceto óleo de milho",9
Preparação do leite,7
Fabricação de laticínios,12
Fabricação de sorvetes e outros gelados comestíveis,8
Beneficiamento de arroz e fabricação de produtos do arroz,4
Moagem de trigo e fabricação de derivados,9
Fabricação de farinha de mandioca e derivados,7
"Fabricação de farinha de milho e derivados, exceto óleos de milho",9
Fabricação de amidos e féculas de vegetais e de óleos de milho,12
Fabricação de alimentos para animais,8
Moagem e fabricação de produtos de origem vegetal não especificados anteriormente,3
Torrefação e moagem de café,7
Fabricação de produtos de panificação,5
Fabricação de biscoitos e bolachas,2
"Fabricação de produtos derivados do cacau, de chocolates e confeitos",2
Fabricação de massas alimentícias,9
"Fabricação de especiarias, molhos, temperos e condimentos",8
Fabricação de alimentos e pratos prontos,9
Fabricação de produtos alimentícios não especificados anteriormente,6
Fabricação de aguardentes e outras bebidas destiladas,6
"Fabricação de malte, cervejas e chopes",5
Fabricação de águas envasadas,5
Fabricação de refrigerantes e de outras bebidas não alcoólicas,4
Tecelagem de fios de fibras artificiais e sintéticas,13
"Acabamentos em fios, tecidos e artefatos têxteis",12
Fabricação de artefatos têxteis para uso doméstico,16
Fabricação de artefatos de tapeçaria,9
Fabricação de outros produtos têxteis não especificados anteriormente,5
Confecção de roupas íntimas,14
"Confecção de peças do vestuário, exceto roupas íntimas",7
Confecção de roupas profissionais,9
"Fabricação de acessórios do vestuário, exceto para segurança e proteção",3
"Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias",9
Curtimento e outras preparações de couro,13
"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",12
Fabricação de artefatos de couro não especificados anteriormente,4
Fabricação de calçados de couro,5
Fabricação de calçados de materiais não especificados anteriormente,8
Desdobramento de madeira,12
"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",12
Fabricação de estruturas de madeira e de artigos de carpintaria para construção,14
Fabricação de artefatos de tanoaria e de embalagens de madeira,7
"Fabricação de artefatos de madeira, palha, cortiça, vime e material trançado não especificados anteriormente, exceto móveis",9
Fabricação de embalagens de papel,14
Fabricação de chapas e de embalagens de papelão ondulado,13
"Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório",11
Fabricação de produtos de papel para usos doméstico e higiênico-sanitário,5
"Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente",5
"Impressão de jornais, livros, revistas e outras publicações periódicas",9
Impressão de material de segurança,4
Impressão de materiais para outros usos,8
Serviços de pré-impressão,10
Serviços de acabamentos gráficos,4
Reprodução de materiais gravados em qualquer suporte,4
"Fabricação de produtos derivados do petróleo, exceto produtos do refino",3
Fabricação de álcool,2
"Fabricação de biocombustíveis, exceto álcool",3
Fabricação de adubos e fertilizantes,1
Fabricação de gases industriais,3
Fabricação de produtos químicos orgânicos não especificados anteriormente,3
Fabricação de defensivos agrícolas,7
Fabricação de sabões e detergentes sintéticos,13
Fabricação de produtos de limpeza e polimento,9
"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",17
"Fabricação de tintas, vernizes, esmaltes e lacas",9
"Fabricação de impermeabilizantes, solventes e produtos afins",12
Fabricação de adesivos e selantes,7
Fabricação de explosivos,6
Fabricação de produtos químicos não especificados anteriormente,9
Fabricação de produtos farmoquímicos,9
Fabricação de medicamentos para uso humano,12
Fabricação de medicamentos para uso veterinário,8
Reforma de pneumáticos usados,7
Fabricação de laminados planos e tubulares de material plástico,5
Fabricação de embalagens de material plástico,18
Fabricação de artefatos de material plástico não especificados anteriormente,3
Fabricação de vidro plano e de segurança,11
Fabricação de artigos de vidro,14
Fabricação de cimento,13
"Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",10
Fabricação de produtos cerâmicos refratários,9
Fabricação de produtos cerâmicos não refratários para uso estrutural na construção,2
Fabricação de produtos cerâmicos não refratários não especificados anteriormente,8
Aparelhamento e outros trabalhos em pedras,9
Fabricação de produtos de minerais não metálicos não especificados anteriormente,9
Produção de laminados planos de aço,4
"Produção de relaminados, trefilados e perfilados de aço",8
Produção de outros tubos de ferro e aço,13
Metalurgia dos metais não ferrosos e suas ligas não especificados anteriormente,12
Fundição de ferro e aço,5
Fundição de metais não ferrosos e suas ligas,7
Fabricação de estruturas metálicas,9
Fabricação de esquadrias de metal,6
"Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central",11
"Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos",11
